time,x-acceleration,y-acceleration,z-acceleration
0,0,0,0
0.02,0,0,0
0.04,0,0,0
0.06,0,0,0
0.08,0.438,-0.21,0.948
0.1,0.461,-0.189,0.951
0.12,0.41,-0.142,0.961
0.14,0.299,-0.085,0.963
0.16,0.188,-0.019,0.979
0.18,0.078,0.099,1.087
0.2,-0.146,0.21,1.171
0.22,-0.21,0.26,1.193
0.24,-0.042,0.252,1.124
0.26,0.185,0.161,1.064
0.28,0.327,0.007,1.014
0.3,0.254,-0.097,0.952
0.32,0.141,-0.167,0.928
0.34,0.089,-0.243,0.964
0.36,0.052,-0.284,0.958
0.38,0.065,-0.316,0.94
0.4,0.1,-0.339,0.923
0.42,0.121,-0.354,0.9
0.44,0.127,-0.369,0.911
0.46,0.081,-0.354,0.923
0.48,0.031,-0.305,0.957
0.5,0.023,-0.235,0.958
0.52,0.11,-0.169,0.965
0.54,0.179,-0.095,0.994
0.56,0.11,-0.014,1.013
0.58,0.128,0.059,1.065
0.6,0.115,0.108,1.096
0.62,0.041,0.102,1.06
0.64,0.008,0.099,1.037
0.66,-0.009,0.048,1.063
0.68,-0.124,-0.011,1.056
0.7,-0.244,-0.014,0.998
0.72,-0.235,-0.037,0.99
0.74,-0.203,-0.075,1.017
0.76,-0.154,-0.12,1.043
0.78,-0.053,-0.196,1.023
0.8,0.029,-0.24,0.983
0.82,0.031,-0.234,0.899
0.84,0.072,-0.263,0.815
0.86,0.105,-0.305,0.769
0.88,0.197,-0.29,0.847
0.9,0.269,-0.26,0.943
0.92,0.364,-0.26,0.961
0.94,0.421,-0.22,1.012
0.96,0.329,-0.171,1.021
0.98,0.259,-0.154,0.974
1,0.275,-0.159,0.93
1.02,0.275,-0.156,0.89
1.04,0.185,-0.11,0.902
1.06,0.046,-0.007,0.979
1.08,-0.06,0.117,1.088
1.1,-0.107,0.219,1.201
1.12,-0.086,0.248,1.257
1.14,-0.081,0.204,1.201
1.16,-0.016,0.16,1.132
1.18,0.034,0.053,1.025
1.2,0.111,-0.092,0.914
1.22,0.155,-0.166,0.883
1.24,0.144,-0.246,0.884
1.26,0.128,-0.284,0.951
1.28,0.073,-0.28,1.005
1.3,0.043,-0.264,0.991
1.32,0.043,-0.259,0.968
1.34,0.028,-0.247,0.94
1.36,0.065,-0.226,0.952
1.38,0.092,-0.199,0.991
1.4,0.096,-0.173,0.973
1.42,0.08,-0.098,0.976
1.44,0.052,-0.022,1.042
1.46,0.207,0.021,1.112
1.48,0.255,0.055,1.122
1.5,0.214,0.048,1.051
1.52,0.161,0.055,0.985
1.54,-0.004,0.036,0.94
1.56,-0.213,0.013,0.952
1.58,-0.367,0.026,0.992
1.6,-0.304,0.015,1.064
1.62,-0.157,-0.057,1.132
1.64,-0.037,-0.136,1.118
1.66,0.062,-0.202,1.028
1.68,0.064,-0.249,0.923
1.7,0.095,-0.253,0.851
1.72,0.111,-0.24,0.842
1.74,0.115,-0.24,0.871
1.76,0.121,-0.238,0.931
1.78,0.12,-0.256,0.891
1.8,0.272,-0.256,0.924
1.82,0.332,-0.219,0.964
1.84,0.359,-0.193,0.895
1.86,0.487,-0.187,0.925
1.88,0.556,-0.181,0.981
1.9,0.45,-0.173,0.971
1.92,0.312,-0.128,0.952
1.94,0.162,-0.076,0.942
1.96,0.061,0.009,0.997
1.98,-0.137,0.132,1.098
2,-0.284,0.206,1.175
2.02,-0.269,0.22,1.199
2.04,-0.205,0.2,1.153
2.06,-0.061,0.152,1.051
2.08,0.06,-0.023,0.945
2.1,0.117,-0.139,0.887
2.12,0.158,-0.185,0.869
2.14,0.182,-0.284,0.904
2.16,0.224,-0.297,0.977
2.18,0.16,-0.295,1.001
2.2,0.1,-0.285,0.997
2.22,0.036,-0.273,0.965
2.24,-0.015,-0.27,0.946
2.26,-0.043,-0.263,0.901
2.28,-0.042,-0.22,0.884
2.3,-0.003,-0.125,0.934
2.32,0.083,-0.042,1.027
2.34,0.156,0.031,1.081
2.36,0.208,0.066,1.056
2.38,0.265,0.045,1.034
