time,x-acceleration,y-acceleration,z-acceleration
0,0,0,0
0.02,0,0,0
0.04,0,0,0
0.06,0,0,0
0.08,-0.28,-0.024,0.983
0.1,-0.359,-0.104,0.992
0.12,-0.229,-0.136,0.973
0.14,-0.095,-0.168,0.962
0.16,-0.041,-0.184,1.005
0.18,-0.073,-0.224,1.044
0.2,-0.048,-0.291,1.017
0.22,-0.014,-0.368,0.912
0.24,0.068,-0.449,0.782
0.26,0.064,-0.413,0.738
0.28,0.117,-0.357,0.781
0.3,0.267,-0.345,0.868
0.32,0.442,-0.331,0.945
0.34,0.574,-0.31,0.964
0.36,0.422,-0.284,0.935
0.38,0.205,-0.204,0.903
0.4,0.046,-0.099,0.912
0.42,-0.078,-0.024,0.991
0.44,-0.171,0.079,1.127
0.46,-0.196,0.156,1.215
0.48,-0.153,0.146,1.187
0.5,0.054,0.106,1.165
0.52,0.065,0.011,0.966
0.54,0.136,-0.207,0.857
0.56,0.242,-0.224,0.882
0.58,0.17,-0.305,0.955
0.6,0.032,-0.351,0.989
0.62,-0.08,-0.358,0.97
0.64,-0.092,-0.342,0.928
0.66,-0.059,-0.324,0.911
0.68,0.009,-0.353,0.945
0.7,0.025,-0.334,0.965
0.72,0.04,-0.282,0.954
0.74,0.072,-0.2,1.002
0.76,-0.003,-0.066,1.049
0.78,0.031,-0.033,1.031
0.8,0.294,-0.016,0.996
0.82,0.425,-0.055,0.979
0.84,0.128,-0.11,0.981
0.86,-0.12,-0.092,1.045
0.88,-0.185,-0.066,1.113
0.9,-0.275,-0.101,1.117
0.92,-0.295,-0.132,1.044
0.94,-0.23,-0.139,0.996
0.96,-0.123,-0.21,1.001
0.98,-0.034,-0.291,0.952
1,0.049,-0.333,0.872
1.02,0.116,-0.37,0.774
1.04,0.152,-0.387,0.73
1.06,0.188,-0.365,0.797
1.08,0.281,-0.367,0.904
1.1,0.346,-0.363,0.952
1.12,0.422,-0.355,0.963
1.14,0.446,-0.356,0.954
1.16,0.415,-0.327,0.911
1.18,0.299,-0.253,0.875
1.2,0.153,-0.168,0.901
1.22,-0.08,-0.052,0.966
1.24,-0.25,0.052,1.07
1.26,-0.322,0.13,1.156
1.28,-0.175,0.121,1.217
1.3,0.056,0.067,1.239
1.32,0.22,0.014,1.109
1.34,0.203,-0.126,0.894
1.36,0.192,-0.183,0.85
1.38,0.065,-0.189,0.929
1.4,-0.064,-0.246,1.01
1.42,-0.146,-0.257,1.028
1.44,-0.165,-0.283,1.015
1.46,-0.184,-0.295,0.961
1.48,-0.141,-0.301,0.909
1.5,-0.112,-0.31,0.909
1.52,-0.139,-0.271,0.922
1.54,-0.134,-0.234,0.961
1.56,-0.09,-0.214,0.979
1.58,0.066,-0.148,1.033
1.6,0.275,-0.094,1.097
1.62,0.444,-0.082,1.112
1.64,0.426,-0.131,1.07
1.66,0.016,-0.14,0.979
1.68,-0.267,-0.073,0.928
1.7,-0.378,-0.012,0.931
1.72,-0.394,0.001,0.957
1.74,-0.291,-0.045,1.007
1.76,-0.194,-0.163,1.029
1.78,-0.153,-0.248,0.995
1.8,-0.053,-0.282,0.94
1.82,0.026,-0.297,0.874
1.84,0.057,-0.297,0.817
1.86,0.12,-0.31,0.83
1.88,0.142,-0.376,0.82
1.9,0.295,-0.383,0.847
1.92,0.397,-0.358,0.9
1.94,0.45,-0.371,0.914
1.96,0.533,-0.322,0.879
1.98,0.489,-0.303,0.84
2,0.424,-0.311,0.839
2.02,0.36,-0.306,0.836
2.04,0.306,-0.26,0.864
2.06,0.193,-0.161,0.9
2.08,0.001,-0.074,0.958
2.1,-0.284,0.031,1.08
2.12,-0.376,0.148,1.258
2.14,-0.294,0.193,1.349
2.16,-0.2,0.112,1.227
2.18,-0.033,0.029,1.016
2.2,0.143,-0.1,0.873
2.22,0.231,-0.164,0.872
2.24,0.096,-0.191,0.925
2.26,-0.092,-0.261,1.006
2.28,-0.189,-0.261,1.024
2.3,-0.191,-0.303,0.992
2.32,-0.156,-0.32,0.948
