time,x-acceleration,y-acceleration,z-acceleration
0,0.228,-0.203,0.997
0.02,0.228,-0.203,0.997
0.04,0.228,-0.203,0.997
0.06,0.087,-0.161,0.996
0.08,0.087,-0.161,0.996
0.1,0.087,-0.161,0.996
0.12,-0.041,-0.106,0.96
0.14,-0.041,-0.106,0.96
0.16,-0.041,-0.106,0.96
0.18,-0.05,-0.102,0.966
0.2,-0.05,-0.102,0.966
0.22,-0.05,-0.102,0.966
0.24,0.016,-0.126,1.024
0.26,0.016,-0.126,1.024
0.28,0.016,-0.126,1.024
0.3,0.104,-0.182,1.059
0.32,0.104,-0.182,1.059
0.34,0.104,-0.182,1.059
0.36,0.177,-0.177,1.021
0.38,0.177,-0.177,1.021
0.4,0.177,-0.177,1.021
0.42,0.193,-0.136,0.976
0.44,0.193,-0.136,0.976
0.46,0.193,-0.136,0.976
0.48,0.132,-0.053,1.008
0.5,0.132,-0.053,1.008
0.52,0.132,-0.053,1.008
0.54,0.105,0.052,1.077
0.56,0.105,0.052,1.077
0.58,0.105,0.052,1.077
0.6,0.092,0.144,1.08
0.62,0.092,0.144,1.08
0.64,0.092,0.144,1.08
0.66,0.062,0.191,1.039
0.68,0.062,0.191,1.039
0.7,0.062,0.191,1.039
0.72,0.069,0.134,1.032
0.74,0.069,0.134,1.032
0.76,0.069,0.134,1.032
0.78,0.114,0.044,1.041
0.8,0.114,0.044,1.041
0.82,0.114,0.044,1.041
0.84,0.224,0.037,1.039
0.86,0.224,0.037,1.039
0.88,0.224,0.037,1.039
0.9,0.307,0.051,1.043
0.92,0.307,0.051,1.043
0.94,0.307,0.051,1.043
0.96,0.239,0.085,1.069
0.98,0.239,0.085,1.069
1,0.239,0.085,1.069
1.02,0.053,0.107,1.094
1.04,0.053,0.107,1.094
1.06,0.053,0.107,1.094
1.08,0.039,0.118,1.018
1.1,0.039,0.118,1.018
1.12,0.039,0.118,1.018
1.14,0.057,0.101,0.923
1.16,0.057,0.101,0.923
1.18,0.057,0.101,0.923
1.2,0.096,0.02,0.875
1.22,0.096,0.02,0.875
1.24,0.096,0.02,0.875
1.26,0.263,-0.052,0.997
1.28,0.263,-0.052,0.997
1.3,0.263,-0.052,0.997
1.32,0.413,-0.163,1.128
1.34,0.413,-0.163,1.128
1.36,0.413,-0.163,1.128
1.38,0.291,-0.357,1.101
1.4,0.291,-0.357,1.101
1.42,0.291,-0.357,1.101
1.44,0.098,-0.494,0.96
1.46,0.098,-0.494,0.96
1.48,0.098,-0.494,0.96
1.5,-0.045,-0.514,0.836
1.52,-0.045,-0.514,0.836
1.54,-0.045,-0.514,0.836
1.56,-0.005,-0.511,0.83
1.58,-0.005,-0.511,0.83
1.6,-0.005,-0.511,0.83
1.62,0.103,-0.504,0.91
1.64,0.103,-0.504,0.91
1.66,0.103,-0.504,0.91
1.68,0.315,-0.447,0.972
1.7,0.315,-0.447,0.972
1.72,0.315,-0.447,0.972
1.74,0.345,-0.327,0.999
1.76,0.345,-0.327,0.999
1.78,0.345,-0.327,0.999
1.8,0.264,-0.162,1.04
1.82,0.264,-0.162,1.04
1.84,0.264,-0.162,1.04
1.86,0.106,0,0.979
1.88,0.106,0,0.979
1.9,0.106,0,0.979
1.92,0.102,0.109,0.939
1.94,0.102,0.109,0.939
1.96,0.102,0.109,0.939
1.98,0.214,0.131,0.981
2,0.214,0.131,0.981
2.02,0.214,0.131,0.981
2.04,0.201,0.086,1.006
2.06,0.201,0.086,1.006
2.08,0.201,0.086,1.006
2.1,0.167,0.02,1.034
2.12,0.167,0.02,1.034
2.14,0.167,0.02,1.034
2.16,0.104,-0.068,1.035
2.18,0.104,-0.068,1.035
2.2,0.104,-0.068,1.035
2.22,0.024,-0.131,0.977
2.24,0.024,-0.131,0.977
2.26,0.024,-0.131,0.977
2.28,0.027,-0.187,0.928
2.3,0.027,-0.187,0.928
2.32,0.027,-0.187,0.928
2.34,0.104,-0.204,0.956
2.36,0.104,-0.204,0.956
2.38,0.104,-0.204,0.956
2.4,0.137,-0.195,1.022
2.42,0.137,-0.195,1.022
2.44,0.137,-0.195,1.022
2.46,0.161,-0.172,1.071
2.48,0.161,-0.172,1.071
2.5,0.161,-0.172,1.071
2.52,0.172,-0.141,1.065
2.54,0.172,-0.141,1.065
2.56,0.172,-0.141,1.065
2.58,0.163,-0.067,1.015
2.6,0.163,-0.067,1.015
2.62,0.163,-0.067,1.015
2.64,0.097,0.037,0.993
2.66,0.097,0.037,0.993
2.68,0.097,0.037,0.993
2.7,0.067,0.113,1.021
2.72,0.067,0.113,1.021
2.74,0.067,0.113,1.021
2.76,0.095,0.159,1.057
2.78,0.095,0.159,1.057
2.8,0.095,0.159,1.057
2.82,0.094,0.159,1.053
2.84,0.094,0.159,1.053
2.86,0.094,0.159,1.053
2.88,0.069,0.099,1.023
2.9,0.069,0.099,1.023
2.92,0.069,0.099,1.023
2.94,0.104,0.064,0.997
2.96,0.104,0.064,0.997
2.98,0.104,0.064,0.997
3,0.124,0.052,0.978
3.02,0.124,0.052,0.978
3.04,0.124,0.052,0.978
3.06,0.132,-0.013,0.961
3.08,0.132,-0.013,0.961
3.1,0.132,-0.013,0.961
3.12,0.208,-0.077,0.969
3.14,0.208,-0.077,0.969
3.16,0.208,-0.077,0.969
3.18,0.273,-0.056,1.03
3.2,0.273,-0.056,1.03
3.22,0.273,-0.056,1.03
3.24,0.264,0.006,1.072
3.26,0.264,0.006,1.072
3.28,0.264,0.006,1.072
3.3,0.239,0.045,1.068
3.32,0.239,0.045,1.068
3.34,0.239,0.045,1.068
3.36,0.17,0.091,1.028
3.38,0.17,0.091,1.028
3.4,0.17,0.091,1.028
3.42,0.121,0.132,1.012
3.44,0.121,0.132,1.012
3.46,0.121,0.132,1.012
3.48,0.145,0.124,1.018
3.5,0.145,0.124,1.018
3.52,0.145,0.124,1.018
3.54,0.181,0.114,1.033
3.56,0.181,0.114,1.033
3.58,0.181,0.114,1.033
3.6,0.176,0.033,1.059
3.62,0.176,0.033,1.059
3.64,0.176,0.033,1.059
3.66,0.266,-0.197,1.05
3.68,0.266,-0.197,1.05
3.7,0.266,-0.197,1.05
3.72,0.282,-0.355,0.969
3.74,0.282,-0.355,0.969
3.76,0.282,-0.355,0.969
3.78,0.214,-0.4,0.909
3.8,0.214,-0.4,0.909
3.82,0.214,-0.4,0.909
3.84,0.051,-0.469,0.891
3.86,0.051,-0.469,0.891
3.88,0.051,-0.469,0.891
3.9,0.013,-0.464,0.922
3.92,0.013,-0.464,0.922
3.94,0.013,-0.464,0.922
3.96,0.066,-0.429,0.954
3.98,0.066,-0.429,0.954
4,0.066,-0.429,0.954
4.02,0.212,-0.401,0.974
4.04,0.212,-0.401,0.974
4.06,0.212,-0.401,0.974
4.08,0.448,-0.34,1.01
4.1,0.448,-0.34,1.01
4.12,0.448,-0.34,1.01
4.14,0.489,-0.204,1.024
4.16,0.489,-0.204,1.024
4.18,0.489,-0.204,1.024
4.2,0.189,-0.055,0.972
4.22,0.189,-0.055,0.972
4.24,0.189,-0.055,0.972
4.26,0.024,0.087,0.944
4.28,0.024,0.087,0.944
4.3,0.024,0.087,0.944
4.32,0.042,0.17,0.989
4.34,0.042,0.17,0.989
4.36,0.042,0.17,0.989
4.38,0.126,0.154,1.02
4.4,0.126,0.154,1.02
4.42,0.126,0.154,1.02
4.44,0.179,0.09,1.013
4.46,0.179,0.09,1.013
4.48,0.179,0.09,1.013
4.5,0.139,0.04,1.008
4.52,0.139,0.04,1.008
4.54,0.139,0.04,1.008
4.56,0.024,0.035,0.982
4.58,0.024,0.035,0.982
4.6,0.024,0.035,0.982
4.62,-0.04,0.009,0.962
4.64,-0.04,0.009,0.962
4.66,-0.04,0.009,0.962
4.68,0.065,-0.015,1.002
4.7,0.065,-0.015,1.002
4.72,0.065,-0.015,1.002
4.74,0.192,-0.051,1.063
4.76,0.192,-0.051,1.063
4.78,0.192,-0.051,1.063
4.8,0.16,-0.1,1.071
4.82,0.16,-0.1,1.071
4.84,0.16,-0.1,1.071
4.86,0.135,-0.144,1.037
4.88,0.135,-0.144,1.037
4.9,0.135,-0.144,1.037
4.92,0.114,-0.156,1.006
4.94,0.114,-0.156,1.006
4.96,0.114,-0.156,1.006
4.98,0.137,-0.169,0.987
5,0.137,-0.169,0.987
5.02,0.137,-0.169,0.987
5.04,0.127,-0.192,0.988
5.06,0.127,-0.192,0.988
5.08,0.127,-0.192,0.988
5.1,0.092,-0.181,1.001
5.12,0.092,-0.181,1.001
5.14,0.092,-0.181,1.001
5.16,0.069,-0.159,0.988
5.18,0.069,-0.159,0.988
5.2,0.069,-0.159,0.988
5.22,0.078,-0.114,0.962
5.24,0.078,-0.114,0.962
5.26,0.078,-0.114,0.962
5.28,0.091,-0.025,0.968
5.3,0.091,-0.025,0.968
5.32,0.091,-0.025,0.968
5.34,0.063,0.053,0.992
5.36,0.063,0.053,0.992
5.38,0.063,0.053,0.992
5.4,0.059,0.103,1.024
5.42,0.059,0.103,1.024
5.44,0.059,0.103,1.024
5.46,0.082,0.093,1.04
5.48,0.082,0.093,1.04
5.5,0.082,0.093,1.04
5.52,0.088,0.038,1.019
5.54,0.088,0.038,1.019
5.56,0.088,0.038,1.019
5.58,0.098,0.044,1.002
5.6,0.098,0.044,1.002
5.62,0.098,0.044,1.002
5.64,0.132,0.069,1.022
5.66,0.132,0.069,1.022
5.68,0.132,0.069,1.022
5.7,0.169,0.097,1.053
5.72,0.169,0.097,1.053
5.74,0.169,0.097,1.053
5.76,0.219,0.114,1.073
5.78,0.219,0.114,1.073
5.8,0.219,0.114,1.073
5.82,0.215,0.156,1.075
5.84,0.215,0.156,1.075
5.86,0.215,0.156,1.075
