time,x-acceleration,y-acceleration,z-acceleration
0,0.192,0.05,0.982
0.02,0.192,0.05,0.982
0.04,0.192,0.05,0.982
0.06,0.219,-0.075,0.961
0.08,0.219,-0.075,0.961
0.1,0.219,-0.075,0.961
0.12,0.314,-0.227,1
0.14,0.314,-0.227,1
0.16,0.314,-0.227,1
0.18,0.413,-0.316,1.029
0.2,0.413,-0.316,1.029
0.22,0.413,-0.316,1.029
0.24,0.493,-0.338,1.045
0.26,0.493,-0.338,1.045
0.28,0.493,-0.338,1.045
0.3,0.396,-0.346,1.013
0.32,0.396,-0.346,1.013
0.34,0.396,-0.346,1.013
0.36,0.168,-0.359,0.928
0.38,0.168,-0.359,0.928
0.4,0.168,-0.359,0.928
0.42,0.075,-0.352,0.846
0.44,0.075,-0.352,0.846
0.46,0.075,-0.352,0.846
0.48,0.132,-0.328,0.818
0.5,0.132,-0.328,0.818
0.52,0.132,-0.328,0.818
0.54,0.264,-0.279,0.927
0.56,0.264,-0.279,0.927
0.58,0.264,-0.279,0.927
0.6,0.373,-0.187,1.066
0.62,0.373,-0.187,1.066
0.64,0.373,-0.187,1.066
0.66,0.285,-0.062,1.074
0.68,0.285,-0.062,1.074
0.7,0.285,-0.062,1.074
0.72,0.174,0.025,1.013
0.74,0.174,0.025,1.013
0.76,0.174,0.025,1.013
0.78,0.114,0.065,0.94
0.8,0.114,0.065,0.94
0.82,0.114,0.065,0.94
0.84,0.121,0.051,0.931
0.86,0.121,0.051,0.931
0.88,0.121,0.051,0.931
0.9,0.096,-0.037,0.981
0.92,0.096,-0.037,0.981
0.94,0.096,-0.037,0.981
0.96,0.109,-0.129,0.977
0.98,0.109,-0.129,0.977
1,0.109,-0.129,0.977
1.02,0.19,-0.189,0.942
1.04,0.19,-0.189,0.942
1.06,0.19,-0.189,0.942
1.08,0.182,-0.244,0.91
1.1,0.182,-0.244,0.91
1.12,0.182,-0.244,0.91
1.14,0.204,-0.283,0.905
1.16,0.204,-0.283,0.905
1.18,0.204,-0.283,0.905
1.2,0.263,-0.24,0.937
1.22,0.263,-0.24,0.937
1.24,0.263,-0.24,0.937
1.26,0.278,-0.124,0.986
1.28,0.278,-0.124,0.986
1.3,0.278,-0.124,0.986
1.32,0.224,-0.021,1.011
1.34,0.224,-0.021,1.011
1.36,0.224,-0.021,1.011
1.38,0.117,0.013,0.966
1.4,0.117,0.013,0.966
1.42,0.117,0.013,0.966
1.44,0.089,0.003,0.907
1.46,0.089,0.003,0.907
1.48,0.089,0.003,0.907
1.5,0.181,0.033,0.941
1.52,0.181,0.033,0.941
1.54,0.181,0.033,0.941
1.56,0.327,0.094,1.068
1.58,0.327,0.094,1.068
