time,x-acceleration,y-acceleration,z-acceleration
0,0.57,-0.352,0.994
0.02,0.57,-0.352,0.994
0.04,0.57,-0.352,0.994
0.06,0.542,-0.311,0.969
0.08,0.542,-0.311,0.969
0.1,0.542,-0.311,0.969
0.12,0.448,-0.28,0.858
0.14,0.448,-0.28,0.858
0.16,0.448,-0.28,0.858
0.18,0.388,-0.226,0.832
0.2,0.388,-0.226,0.832
0.22,0.388,-0.226,0.832
0.24,0.238,-0.211,0.88
0.26,0.238,-0.211,0.88
0.28,0.238,-0.211,0.88
0.3,0.213,-0.226,0.943
0.32,0.213,-0.226,0.943
0.34,0.213,-0.226,0.943
0.36,0.19,-0.27,0.969
0.38,0.19,-0.27,0.969
0.4,0.19,-0.27,0.969
0.42,0.183,-0.34,0.952
0.44,0.183,-0.34,0.952
0.46,0.183,-0.34,0.952
0.48,0.278,-0.451,0.888
0.5,0.278,-0.451,0.888
0.52,0.278,-0.451,0.888
0.54,0.349,-0.513,0.892
0.56,0.349,-0.513,0.892
0.58,0.349,-0.513,0.892
0.6,0.376,-0.562,0.908
0.62,0.376,-0.562,0.908
0.64,0.376,-0.562,0.908
0.66,0.398,-0.555,0.89
0.68,0.398,-0.555,0.89
0.7,0.398,-0.555,0.89
0.72,0.432,-0.498,0.894
0.74,0.432,-0.498,0.894
0.76,0.432,-0.498,0.894
0.78,0.407,-0.432,0.872
0.8,0.407,-0.432,0.872
0.82,0.407,-0.432,0.872
0.84,0.301,-0.355,0.866
0.86,0.301,-0.355,0.866
0.88,0.301,-0.355,0.866
0.9,0.185,-0.255,0.914
0.92,0.185,-0.255,0.914
0.94,0.185,-0.255,0.914
0.96,0.135,-0.143,0.947
0.98,0.135,-0.143,0.947
1,0.135,-0.143,0.947
1.02,0.243,-0.038,0.97
1.04,0.243,-0.038,0.97
1.06,0.243,-0.038,0.97
1.08,0.386,0.089,1.018
1.1,0.386,0.089,1.018
1.12,0.386,0.089,1.018
1.14,0.355,0.185,0.951
1.16,0.355,0.185,0.951
1.18,0.355,0.185,0.951
1.2,0.409,0.317,0.96
1.22,0.409,0.317,0.96
1.24,0.409,0.317,0.96
1.26,0.523,0.347,1.09
1.28,0.523,0.347,1.09
1.3,0.523,0.347,1.09
1.32,0.405,0.221,1.101
1.34,0.405,0.221,1.101
1.36,0.405,0.221,1.101
1.38,0.288,0.06,0.972
1.4,0.288,0.06,0.972
1.42,0.288,0.06,0.972
1.44,0.419,-0.138,0.77
1.46,0.419,-0.138,0.77
1.48,0.419,-0.138,0.77
1.5,0.568,-0.248,0.737
1.52,0.568,-0.248,0.737
1.54,0.568,-0.248,0.737
1.56,0.52,-0.265,0.858
1.58,0.52,-0.265,0.858
1.6,0.52,-0.265,0.858
1.62,0.562,-0.232,0.999
1.64,0.562,-0.232,0.999
