time,x-acceleration,y-acceleration,z-acceleration
0,0.158,0.211,1.134
0.02,0.158,0.211,1.134
0.04,0.158,0.211,1.134
0.06,0.183,0.308,1.15
0.08,0.183,0.308,1.15
0.1,0.183,0.308,1.15
0.12,0.305,0.351,1.109
0.14,0.305,0.351,1.109
0.16,0.305,0.351,1.109
0.18,0.31,0.301,1.027
0.2,0.31,0.301,1.027
0.22,0.31,0.301,1.027
0.24,0.237,0.201,0.957
0.26,0.237,0.201,0.957
0.28,0.237,0.201,0.957
0.3,0.349,0.082,0.933
0.32,0.349,0.082,0.933
0.34,0.349,0.082,0.933
0.36,0.375,-0.047,0.937
0.38,0.375,-0.047,0.937
0.4,0.375,-0.047,0.937
0.42,0.334,-0.169,0.918
0.44,0.334,-0.169,0.918
0.46,0.334,-0.169,0.918
0.48,0.278,-0.25,0.992
0.5,0.278,-0.25,0.992
0.52,0.278,-0.25,0.992
0.54,0.258,-0.256,1.061
0.56,0.258,-0.256,1.061
0.58,0.258,-0.256,1.061
0.6,0.381,-0.209,1.07
0.62,0.381,-0.209,1.07
0.64,0.381,-0.209,1.07
0.66,0.413,-0.158,1.046
0.68,0.413,-0.158,1.046
0.7,0.413,-0.158,1.046
0.72,0.177,-0.104,0.96
0.74,0.177,-0.104,0.96
0.76,0.177,-0.104,0.96
0.78,-0.015,-0.097,0.888
0.8,-0.015,-0.097,0.888
0.82,-0.015,-0.097,0.888
0.84,-0.123,-0.149,0.919
0.86,-0.123,-0.149,0.919
0.88,-0.123,-0.149,0.919
0.9,-0.146,-0.199,1.004
0.92,-0.146,-0.199,1.004
0.94,-0.146,-0.199,1.004
0.96,0.05,-0.299,1.05
0.98,0.05,-0.299,1.05
1,0.05,-0.299,1.05
1.02,0.263,-0.405,1.003
1.04,0.263,-0.405,1.003
1.06,0.263,-0.405,1.003
1.08,0.412,-0.505,0.93
1.1,0.412,-0.505,0.93
1.12,0.412,-0.505,0.93
1.14,0.433,-0.546,0.902
1.16,0.433,-0.546,0.902
1.18,0.433,-0.546,0.902
1.2,0.336,-0.526,0.876
1.22,0.336,-0.526,0.876
1.24,0.336,-0.526,0.876
1.26,0.198,-0.477,0.856
1.28,0.198,-0.477,0.856
1.3,0.198,-0.477,0.856
1.32,0.046,-0.376,0.822
1.34,0.046,-0.376,0.822
1.36,0.046,-0.376,0.822
1.38,0.08,-0.238,0.813
1.4,0.08,-0.238,0.813
1.42,0.08,-0.238,0.813
1.44,0.128,-0.066,0.905
1.46,0.128,-0.066,0.905
1.48,0.128,-0.066,0.905
1.5,0.167,0.102,1.019
1.52,0.167,0.102,1.019
1.54,0.167,0.102,1.019
1.56,0.384,0.272,1.118
1.58,0.384,0.272,1.118
1.6,0.384,0.272,1.118
1.62,0.47,0.41,1.17
1.64,0.47,0.41,1.17
1.66,0.47,0.41,1.17
1.68,0.348,0.515,1.095
1.7,0.348,0.515,1.095
1.72,0.348,0.515,1.095
1.74,0.396,0.499,1.026
1.76,0.396,0.499,1.026
1.78,0.396,0.499,1.026
1.8,0.411,0.318,0.951
1.82,0.411,0.318,0.951
1.84,0.411,0.318,0.951
1.86,0.481,0.11,0.861
1.88,0.481,0.11,0.861
1.9,0.481,0.11,0.861
1.92,0.546,-0.015,0.868
1.94,0.546,-0.015,0.868
1.96,0.546,-0.015,0.868
1.98,0.589,-0.078,0.962
2,0.589,-0.078,0.962
2.02,0.589,-0.078,0.962
2.04,0.579,-0.126,1.01
2.06,0.579,-0.126,1.01
2.08,0.579,-0.126,1.01
2.1,0.515,-0.135,0.976
2.12,0.515,-0.135,0.976
2.14,0.515,-0.135,0.976
2.16,0.353,-0.146,0.922
2.18,0.353,-0.146,0.922
2.2,0.353,-0.146,0.922
2.22,0.218,-0.172,0.879
2.24,0.218,-0.172,0.879
2.26,0.218,-0.172,0.879
2.28,0.205,-0.219,0.849
2.3,0.205,-0.219,0.849
