time,x-acceleration,y-acceleration,z-acceleration
0,0,0,0
0.02,0,0,0
0.04,0,0,0
0.06,0,0,0
0.08,0.257,0.094,0.96
0.1,0.189,0.135,0.983
0.12,0.183,0.169,1.015
0.14,0.222,0.196,1.047
0.16,0.256,0.213,1.041
0.18,0.277,0.193,1.021
0.2,0.269,0.185,1.048
0.22,0.156,0.205,1
0.24,0.192,0.146,0.922
0.26,0.324,0.075,0.875
0.28,0.446,0.02,0.829
0.3,0.485,-0.043,0.914
0.32,0.464,-0.029,0.957
0.34,0.399,-0.024,0.954
0.36,0.354,0.008,0.944
0.38,0.299,0.041,0.955
0.4,0.276,0.072,0.971
0.42,0.276,0.112,0.983
0.44,0.318,0.137,1.009
0.46,0.414,0.151,1.024
0.48,0.421,0.159,0.99
0.5,0.311,0.161,0.941
0.52,0.106,0.198,0.941
0.54,-0.046,0.241,0.995
0.56,-0.178,0.237,1.062
0.58,-0.085,0.199,1.08
0.6,0.109,0.148,1.048
0.62,0.18,0.066,0.976
0.64,0.081,0.054,0.96
0.66,-0.014,0.077,0.975
0.68,0.047,0.049,0.96
0.7,0.202,-0.01,0.877
0.72,0.349,-0.019,0.847
0.74,0.405,0.002,0.854
0.76,0.496,0.028,0.929
0.78,0.529,0.063,1.02
0.8,0.411,0.103,1.049
0.82,0.316,0.099,1.002
0.84,0.237,0.087,0.967
0.86,0.227,0.082,0.97
0.88,0.277,0.071,0.956
0.9,0.383,0.057,0.947
0.92,0.462,0.03,0.957
0.94,0.451,0.006,0.937
0.96,0.406,-0.004,0.909
0.98,0.383,-0.019,0.89
1,0.372,-0.026,0.899
1.02,0.353,0.007,0.915
1.04,0.287,0.068,0.927
1.06,0.196,0.133,0.973
1.08,0.125,0.175,1.035
1.1,0.106,0.218,1.088
1.12,0.131,0.216,1.11
1.14,0.147,0.213,1.089
1.16,0.118,0.217,0.967
1.18,0.242,0.123,0.85
1.2,0.341,0.083,0.822
1.22,0.38,0.042,0.864
1.24,0.37,-0.006,0.975
1.26,0.388,0.023,1.014
1.28,0.361,-0.001,0.984
1.3,0.327,0.003,0.942
1.32,0.341,0.044,0.937
1.34,0.333,0.052,0.977
1.36,0.321,0.063,1.005
1.38,0.267,0.107,1.004
1.4,0.194,0.172,1.038
1.42,0.157,0.205,1.06
1.44,0.149,0.191,1.033
1.46,0.225,0.171,0.973
1.48,0.264,0.147,0.933
1.5,0.147,0.148,0.963
1.52,0.022,0.165,1.043
1.54,-0.135,0.171,1.087
1.56,-0.205,0.132,1.047
1.58,-0.132,0.084,0.964
1.6,-0.109,0.061,0.927
1.62,-0.092,0.068,0.963
1.64,-0.069,0.061,0.994
1.66,0.108,-0.012,0.924
1.68,0.295,-0.068,0.809
1.7,0.389,-0.028,0.844
1.72,0.437,-0.004,0.924
1.74,0.558,0.034,1.029
1.76,0.419,0.053,1.069
1.78,0.209,0.092,1.024
1.8,0.094,0.089,0.979
1.82,0.07,0.078,0.947
1.84,0.152,0.086,0.968
1.86,0.28,0.078,1.019
1.88,0.368,0.066,1.036
1.9,0.385,0.048,1.005
1.92,0.302,0.023,0.937
1.94,0.243,0.032,0.922
1.96,0.238,0.038,0.958
1.98,0.248,0.027,0.967
2,0.259,0.013,0.942
2.02,0.24,0.007,0.886
2.04,0.232,0.005,0.857
2.06,0.315,0.039,0.899
2.08,0.391,0.109,0.992
2.1,0.326,0.16,1.078
2.12,0.211,0.226,1.139
2.14,0.093,0.244,1.117
2.16,0.08,0.219,1.124
2.18,0.143,0.202,1.008
2.2,0.182,0.161,0.825
2.22,0.291,0.046,0.819
2.24,0.396,0.022,0.883
2.26,0.45,0.002,0.983
2.28,0.412,-0.005,1.039
2.3,0.33,-0.003,1.008
2.32,0.308,0.006,0.955
2.34,0.318,0.015,0.957
2.36,0.359,0.015,0.971
2.38,0.364,0.026,0.941
2.4,0.335,0.061,0.955
2.42,0.325,0.126,1.006
2.44,0.292,0.19,1.032
2.46,0.171,0.216,0.994
2.48,0.07,0.214,0.962
