time,x-acceleration,y-acceleration,z-acceleration
0,0,0,0
0.02,0,0,0
0.04,0,0,0
0.06,0,0,0
0.08,-0.089,0.287,1.022
0.1,-0.141,0.279,1.125
0.12,-0.174,0.221,1.093
0.14,-0.119,0.085,0.941
0.16,-0.165,-0.012,0.872
0.18,-0.262,0.01,0.952
0.2,-0.184,-0.012,1.052
0.22,0.03,-0.054,1.03
0.24,0.117,-0.088,0.939
0.26,0.119,-0.078,0.893
0.28,0.175,-0.029,0.961
0.3,0.187,0.028,1.072
0.32,0.168,0.093,1.115
0.34,0.122,0.122,1.095
0.36,0.056,0.13,1.046
0.38,-0.005,0.123,0.979
0.4,-0.002,0.1,0.958
0.42,0.047,0.081,0.995
0.44,0.122,0.047,1.023
0.46,0.153,-0.007,1.002
0.48,0.143,-0.044,0.966
0.5,0.179,-0.04,0.964
0.52,0.266,-0.01,1.009
0.54,0.233,0.013,1.018
0.56,0.118,0.047,1.007
0.58,0.001,0.114,0.995
0.6,-0.148,0.196,0.976
0.62,-0.155,0.251,0.995
0.64,-0.045,0.261,1.075
0.66,0.063,0.252,1.099
0.68,0.162,0.185,0.976
0.7,0.155,0.071,0.898
0.72,0.159,0.025,0.928
0.74,0.188,-0.027,0.988
0.76,0.197,-0.041,1.036
0.78,0.145,-0.062,1.011
0.8,0.193,-0.07,0.985
0.82,0.221,-0.065,0.98
0.84,0.23,-0.039,0.988
0.86,0.255,-0.003,0.998
0.88,0.251,0.045,1.008
0.9,0.226,0.109,1.026
0.92,0.127,0.153,0.995
0.94,0.023,0.182,0.947
0.96,-0.018,0.208,0.952
0.98,-0.092,0.218,0.976
1,-0.075,0.204,1.038
1.02,-0.111,0.188,1.088
1.04,-0.197,0.155,1.054
1.06,-0.176,0.087,0.994
1.08,-0.211,0.046,0.967
1.1,-0.191,0.028,1.001
1.12,-0.119,0,0.996
1.14,-0.073,-0.022,0.979
1.16,-0.012,-0.037,0.944
1.18,0.16,-0.063,0.892
1.2,0.227,-0.039,0.927
1.22,0.246,0.008,1.007
1.24,0.351,0.044,1.064
1.26,0.276,0.058,1.071
1.28,0.152,0.071,1.032
1.3,0.08,0.081,0.99
1.32,0.052,0.071,0.973
1.34,0.159,0.057,0.996
1.36,0.257,0.034,1.03
1.38,0.288,-0.014,1.027
1.4,0.283,-0.042,0.974
1.42,0.271,-0.056,0.941
1.44,0.229,-0.051,0.927
1.46,0.194,-0.035,0.947
1.48,0.094,0.01,0.96
1.5,0.063,0.052,0.989
1.52,0.122,0.103,1.049
1.54,0.115,0.153,1.075
1.56,0.013,0.188,1.027
1.58,0.039,0.226,1.014
1.6,-0.007,0.243,1.032
1.62,0.031,0.217,1.034
1.64,0.18,0.146,0.984
1.66,0.258,0.049,0.915
1.68,0.341,-0.019,0.924
1.7,0.308,-0.068,1.008
1.72,0.278,-0.059,1.049
1.74,0.223,-0.06,1.023
1.76,0.208,-0.056,0.983
1.78,0.23,-0.049,0.968
1.8,0.267,-0.037,0.974
1.82,0.298,-0.011,0.997
1.84,0.326,0.039,1.032
1.86,0.224,0.095,1.006
1.88,0.017,0.129,0.902
1.9,-0.097,0.183,0.854
1.92,-0.097,0.233,0.914
1.94,-0.132,0.247,1.027
1.96,-0.108,0.25,1.128
1.98,-0.099,0.163,1.097
2,-0.131,0.075,1.019
2.02,-0.172,0.048,0.978
2.04,-0.237,0.022,0.997
2.06,-0.277,0.036,1.015
2.08,-0.124,0.003,0.984
2.1,0.127,-0.068,0.888
2.12,0.259,-0.055,0.864
2.14,0.231,0.005,0.961
2.16,0.272,0.035,1.065
2.18,0.305,0.069,1.137
2.2,0.138,0.105,1.09
2.22,0.038,0.094,1.011
2.24,-0.017,0.075,0.952
2.26,0.022,0.049,0.946
2.28,0.159,0.036,1.011
2.3,0.255,0.028,1.052
2.32,0.264,0.001,1.018
2.34,0.242,-0.018,0.968
2.36,0.207,-0.014,0.947
2.38,0.197,0.003,0.964
2.4,0.143,0.05,1.019
2.42,-0.013,0.094,1.033
