time,x-acceleration,y-acceleration,z-acceleration
0,0,0,0
0.02,0,0,0
0.04,0,0,0
0.06,0,0,0
0.08,0.227,0.178,1.005
0.1,0.192,0.176,0.98
0.12,0.173,0.182,0.99
0.14,0.116,0.167,1.02
0.16,0.136,0.161,1.047
0.18,0.066,0.163,1.03
0.2,0.007,0.116,1.019
0.22,-0.059,0.089,0.969
0.24,-0.026,0.035,0.953
0.26,0.019,0.024,0.994
0.28,-0.04,0.056,1.003
0.3,0.008,0.015,0.965
0.32,0.156,0.012,0.922
0.34,0.182,0.051,0.945
0.36,0.271,0.068,1.019
0.38,0.275,0.102,1.057
0.4,0.249,0.124,1.03
0.42,0.197,0.103,0.974
0.44,0.166,0.114,0.96
0.46,0.174,0.117,1
0.48,0.186,0.113,1.023
0.5,0.228,0.094,1.003
0.52,0.263,0.056,0.965
0.54,0.265,0.046,0.945
0.56,0.273,0.035,0.954
0.58,0.256,0.024,0.966
0.6,0.232,0.032,0.96
0.62,0.238,0.038,0.951
0.64,0.237,0.041,0.954
0.66,0.246,0.061,0.948
0.68,0.262,0.086,0.95
0.7,0.216,0.163,0.994
0.72,0.138,0.227,1.058
0.74,0.085,0.256,1.094
0.76,0.064,0.251,1.088
0.78,0.149,0.21,1.082
0.8,0.157,0.215,1.017
0.82,0.175,0.203,0.878
0.84,0.265,0.1,0.85
0.86,0.354,0.057,0.901
0.88,0.416,0.011,0.952
0.9,0.406,0.004,0.984
0.92,0.348,-0.005,0.962
0.94,0.336,0.027,0.944
0.96,0.33,0.05,0.973
0.98,0.295,0.077,0.986
1,0.216,0.123,0.989
1.02,0.176,0.176,1.012
1.04,0.173,0.198,1.045
1.06,0.188,0.197,1.052
1.08,0.189,0.18,1.036
1.1,0.162,0.186,1.008
1.12,0.065,0.192,0.998
1.14,-0.103,0.208,0.976
1.16,-0.202,0.169,0.951
1.18,-0.095,0.114,0.956
1.2,0.001,0.084,0.982
1.22,0.043,0.032,1.018
1.24,-0.026,0.08,1.024
1.26,0.029,0.04,0.976
1.28,0.225,-0.012,0.86
1.3,0.34,0.009,0.865
1.32,0.362,0.032,0.923
1.34,0.443,0.038,1.025
1.36,0.39,0.108,1.072
1.38,0.215,0.093,1.039
1.4,0.117,0.088,0.984
1.42,0.105,0.083,0.963
1.44,0.167,0.068,0.976
1.46,0.275,0.052,0.99
1.48,0.394,0.036,0.983
1.5,0.381,0.013,0.946
1.52,0.328,0.003,0.918
1.54,0.271,-0.001,0.911
1.56,0.254,0.013,0.926
1.58,0.222,0.058,0.928
1.6,0.195,0.1,0.931
1.62,0.124,0.154,0.974
1.64,0.138,0.184,1.07
1.66,0.119,0.235,1.114
1.68,0.134,0.246,1.084
1.7,0.16,0.225,1.084
1.72,0.191,0.233,1.043
1.74,0.194,0.2,0.91
1.76,0.252,0.124,0.849
1.78,0.285,0.076,0.867
1.8,0.305,0.022,0.969
1.82,0.336,0.027,1.052
1.84,0.303,0.005,1.018
1.86,0.252,0.011,0.953
1.88,0.264,0.04,0.96
1.9,0.289,0.059,0.996
1.92,0.294,0.081,0.988
1.94,0.21,0.127,1.023
1.96,0.144,0.192,1.067
1.98,0.069,0.228,1.031
2,0.022,0.225,0.947
2.02,0.109,0.206,0.971
2.04,0.172,0.177,1.036
2.06,0.155,0.176,1.073
2.08,0.104,0.14,1.046
2.1,-0.002,0.074,0.944
2.12,-0.163,0.06,0.863
2.14,-0.332,0.087,0.93
2.16,-0.315,0.133,1.013
2.18,-0.052,0.068,0.975
2.2,0.263,-0.02,0.835
2.22,0.603,-0.061,0.815
2.24,0.611,-0.014,0.928
2.26,0.531,0.018,1.001
2.28,0.476,0.064,1.045
2.3,0.309,0.094,1.006
2.32,0.153,0.093,0.961
2.34,0.105,0.105,0.966
2.36,0.172,0.091,0.994
2.38,0.296,0.069,1.004
2.4,0.397,0.039,0.977
2.42,0.416,0.008,0.934
2.44,0.4,0.002,0.909
2.46,0.328,0.003,0.911
2.48,0.274,0.048,0.93
2.5,0.26,0.096,0.951
