acc_x,acc_y,acc_z
0.018,-0.268,0.908
0.018,-0.268,0.908
-0.002,-0.296,0.907
-0.002,-0.296,0.907
-0.002,-0.296,0.907
0.076,-0.357,0.874
0.076,-0.357,0.874
0.076,-0.357,0.874
0.145,-0.416,0.862
0.145,-0.416,0.862
0.145,-0.416,0.862
0.225,-0.447,0.882
0.225,-0.447,0.882
0.225,-0.447,0.882
0.254,-0.442,0.862
0.254,-0.442,0.862
0.254,-0.442,0.862
0.217,-0.422,0.838
0.217,-0.422,0.838
0.217,-0.422,0.838
0.15,-0.398,0.797
0.15,-0.398,0.797
0.15,-0.398,0.797
0.093,-0.364,0.806
0.093,-0.364,0.806
0.093,-0.364,0.806
0.11,-0.292,0.875
0.11,-0.292,0.875
0.11,-0.292,0.875
0.246,-0.184,0.913
0.246,-0.184,0.913
0.246,-0.184,0.913
0.316,-0.072,0.952
0.316,-0.072,0.952
0.316,-0.072,0.952
0.164,0.069,1.042
0.164,0.069,1.042
0.164,0.069,1.042
0.109,0.223,1.191
0.109,0.223,1.191
0.109,0.223,1.191
0.305,0.317,1.269
0.305,0.317,1.269
0.305,0.317,1.269
0.428,0.327,1.219
0.428,0.327,1.219
0.428,0.327,1.219
0.449,0.29,1.136
0.449,0.29,1.136
0.449,0.29,1.136
0.348,0.203,1.041
0.348,0.203,1.041
0.348,0.203,1.041
0.28,0.076,0.91
0.28,0.076,0.91
0.28,0.076,0.91
0.358,-0.012,0.785
0.358,-0.012,0.785
0.358,-0.012,0.785
0.439,-0.088,0.856
0.439,-0.088,0.856
0.439,-0.088,0.856
0.474,-0.148,0.995
0.474,-0.148,0.995
0.474,-0.148,0.995
0.549,-0.183,1.097
0.549,-0.183,1.097
0.549,-0.183,1.097
0.527,-0.17,1.065
0.527,-0.17,1.065
0.527,-0.17,1.065
0.391,-0.163,0.955
0.391,-0.163,0.955
0.391,-0.163,0.955
0.21,-0.218,0.852
0.21,-0.218,0.852
0.21,-0.218,0.852
0.036,-0.256,0.825
0.036,-0.256,0.825
0.036,-0.256,0.825
-0.006,-0.277,0.863
-0.006,-0.277,0.863
-0.006,-0.277,0.863
0.045,-0.296,0.926
0.045,-0.296,0.926
0.045,-0.296,0.926
0.111,-0.342,0.972
0.111,-0.342,0.972
0.111,-0.342,0.972
0.216,-0.381,0.987
0.216,-0.381,0.987
0.216,-0.381,0.987
0.297,-0.414,0.928
0.297,-0.414,0.928
0.297,-0.414,0.928
0.332,-0.438,0.835
0.332,-0.438,0.835
0.332,-0.438,0.835
0.312,-0.457,0.782
0.312,-0.457,0.782
0.312,-0.457,0.782
0.275,-0.443,0.802
0.275,-0.443,0.802
0.275,-0.443,0.802
0.244,-0.388,0.85
0.244,-0.388,0.85
0.244,-0.388,0.85
0.238,-0.308,0.886
0.238,-0.308,0.886
0.238,-0.308,0.886
0.276,-0.21,0.897
0.276,-0.21,0.897
0.276,-0.21,0.897
0.289,-0.099,0.915
0.289,-0.099,0.915
0.289,-0.099,0.915
0.281,0.025,1.013
0.281,0.025,1.013
0.281,0.025,1.013
0.307,0.186,1.155
0.307,0.186,1.155
0.307,0.186,1.155
0.308,0.321,1.237
0.308,0.321,1.237
0.308,0.321,1.237
0.326,0.353,1.214
0.326,0.353,1.214
0.326,0.353,1.214
0.318,0.355,1.131
0.318,0.355,1.131
0.318,0.355,1.131
0.316,0.26,1.038
0.316,0.26,1.038
0.316,0.26,1.038
0.312,0.1,0.922
