acc_x,acc_y,acc_z
0.178,-0.432,0.886
0.288,-0.284,0.919
0.288,-0.284,0.919
0.288,-0.284,0.919
0.322,-0.102,0.979
0.322,-0.102,0.979
0.322,-0.102,0.979
0.202,0.03,1.002
0.202,0.03,1.002
0.202,0.03,1.002
0.102,0.111,1.029
0.102,0.111,1.029
0.102,0.111,1.029
0.033,0.121,0.998
0.033,0.121,0.998
0.033,0.121,0.998
0.055,0.082,0.964
0.055,0.082,0.964
0.055,0.082,0.964
0.073,0.013,0.971
0.073,0.013,0.971
0.073,0.013,0.971
0.098,-0.071,0.994
0.098,-0.071,0.994
0.098,-0.071,0.994
0.11,-0.163,0.999
0.11,-0.163,0.999
0.11,-0.163,0.999
0.149,-0.229,0.999
0.149,-0.229,0.999
0.149,-0.229,0.999
0.197,-0.219,1.034
0.197,-0.219,1.034
0.197,-0.219,1.034
0.184,-0.195,1.049
0.184,-0.195,1.049
0.184,-0.195,1.049
0.155,-0.198,1.031
0.155,-0.198,1.031
0.155,-0.198,1.031
0.169,-0.275,1.014
0.169,-0.275,1.014
0.169,-0.275,1.014
0.198,-0.33,0.983
0.198,-0.33,0.983
0.198,-0.33,0.983
0.185,-0.34,0.929
0.185,-0.34,0.929
0.185,-0.34,0.929
0.202,-0.33,0.914
0.202,-0.33,0.914
0.202,-0.33,0.914
0.261,-0.245,0.952
0.261,-0.245,0.952
0.261,-0.245,0.952
0.191,-0.078,1.015
0.191,-0.078,1.015
0.191,-0.078,1.015
0.09,0.042,1.064
0.09,0.042,1.064
0.09,0.042,1.064
0.038,0.129,1.066
0.038,0.129,1.066
0.038,0.129,1.066
0.06,0.189,1.035
0.06,0.189,1.035
0.06,0.189,1.035
0.091,0.168,0.992
0.091,0.168,0.992
0.091,0.168,0.992
0.011,0.053,0.964
0.011,0.053,0.964
0.011,0.053,0.964
0.009,-0.017,0.967
0.009,-0.017,0.967
0.009,-0.017,0.967
0.123,-0.081,1.011
0.123,-0.081,1.011
0.123,-0.081,1.011
0.239,-0.13,1.035
0.239,-0.13,1.035
0.239,-0.13,1.035
0.299,-0.131,1.012
0.299,-0.131,1.012
0.299,-0.131,1.012
0.313,-0.098,1.011
0.313,-0.098,1.011
0.313,-0.098,1.011
0.268,-0.063,1.039
0.268,-0.063,1.039
0.268,-0.063,1.039
0.253,-0.014,1.047
0.253,-0.014,1.047
0.253,-0.014,1.047
0.161,0.014,1.034
0.161,0.014,1.034
0.161,0.014,1.034
0.088,0.028,1.013
0.088,0.028,1.013
0.088,0.028,1.013
0.149,0.019,0.976
0.149,0.019,0.976
0.149,0.019,0.976
0.227,-0.035,0.98
0.227,-0.035,0.98
0.227,-0.035,0.98
0.25,-0.078,1.021
0.25,-0.078,1.021
0.25,-0.078,1.021
0.189,-0.186,1.037
0.189,-0.186,1.037
0.189,-0.186,1.037
0.079,-0.327,1.014
0.079,-0.327,1.014
0.079,-0.327,1.014
0.008,-0.455,0.988
0.008,-0.455,0.988
0.008,-0.455,0.988
0.078,-0.487,0.966
0.078,-0.487,0.966
0.078,-0.487,0.966
0.184,-0.485,0.982
0.184,-0.485,0.982
0.184,-0.485,0.982
0.305,-0.471,1.005
0.305,-0.471,1.005
0.305,-0.471,1.005
0.288,-0.471,0.953
0.288,-0.471,0.953
0.288,-0.471,0.953
0.234,-0.414,0.885
0.234,-0.414,0.885
0.234,-0.414,0.885
0.245,-0.272,0.883
0.245,-0.272,0.883
0.245,-0.272,0.883
0.278,-0.113,0.966
0.278,-0.113,0.966
0.278,-0.113,0.966
0.297,0.014,1.017
0.297,0.014,1.017
0.297,0.014,1.017
0.287,0.049,0.974
0.287,0.049,0.974
0.287,0.049,0.974
0.255,0.029,0.932
0.255,0.029,0.932
0.255,0.029,0.932
0.159,-0.015,0.93
0.159,-0.015,0.93
0.159,-0.015,0.93
0.122,-0.113,0.953
0.122,-0.113,0.953
0.122,-0.113,0.953
0.164,-0.185,0.976
0.164,-0.185,0.976
0.164,-0.185,0.976
0.203,-0.236,0.981
0.203,-0.236,0.981
0.203,-0.236,0.981
0.229,-0.276,0.955
0.229,-0.276,0.955
0.229,-0.276,0.955
0.253,-0.252,0.924
0.253,-0.252,0.924
0.253,-0.252,0.924
0.307,-0.237,0.951
0.307,-0.237,0.951
0.307,-0.237,0.951
0.274,-0.313,0.964
0.274,-0.313,0.964
