acc_x,acc_y,acc_z
0.608,-0.14,1.016
0.647,-0.161,1.049
0.647,-0.161,1.049
0.647,-0.161,1.049
0.638,-0.177,1.037
0.638,-0.177,1.037
0.638,-0.177,1.037
0.543,-0.17,1.075
0.543,-0.17,1.075
0.543,-0.17,1.075
0.435,-0.157,1.13
0.435,-0.157,1.13
0.435,-0.157,1.13
0.401,-0.138,1.096
0.401,-0.138,1.096
0.401,-0.138,1.096
0.411,-0.094,1.05
0.411,-0.094,1.05
0.411,-0.094,1.05
0.492,-0.047,1.033
0.492,-0.047,1.033
0.492,-0.047,1.033
0.527,0.015,0.961
0.527,0.015,0.961
0.527,0.015,0.961
0.501,0.09,0.892
0.501,0.09,0.892
0.501,0.09,0.892
0.517,0.167,0.954
0.517,0.167,0.954
0.517,0.167,0.954
0.471,0.251,1.033
0.471,0.251,1.033
0.471,0.251,1.033
0.381,0.256,1.006
0.381,0.256,1.006
0.381,0.256,1.006
0.216,0.207,0.935
0.216,0.207,0.935
0.216,0.207,0.935
0.147,0.138,0.877
0.147,0.138,0.877
0.147,0.138,0.877
0.167,0.003,0.838
0.167,0.003,0.838
0.167,0.003,0.838
0.262,-0.162,0.839
0.262,-0.162,0.839
0.262,-0.162,0.839
0.394,-0.272,0.836
0.394,-0.272,0.836
0.394,-0.272,0.836
0.483,-0.29,0.837
0.483,-0.29,0.837
0.483,-0.29,0.837
0.409,-0.258,0.85
0.409,-0.258,0.85
0.409,-0.258,0.85
0.291,-0.203,0.938
0.291,-0.203,0.938
0.291,-0.203,0.938
0.184,-0.091,1.026
0.184,-0.091,1.026
0.184,-0.091,1.026
0.037,-0.002,0.973
0.037,-0.002,0.973
0.037,-0.002,0.973
0.043,-0.021,0.906
0.043,-0.021,0.906
0.043,-0.021,0.906
0.196,-0.031,0.923
0.196,-0.031,0.923
0.196,-0.031,0.923
0.175,-0.023,0.969
0.175,-0.023,0.969
0.175,-0.023,0.969
0.154,-0.045,0.98
0.154,-0.045,0.98
0.154,-0.045,0.98
0.127,-0.101,0.961
0.127,-0.101,0.961
0.127,-0.101,0.961
0.069,-0.153,0.956
0.069,-0.153,0.956
0.069,-0.153,0.956
0.109,-0.179,0.961
0.109,-0.179,0.961
0.109,-0.179,0.961
0.213,-0.175,0.996
0.213,-0.175,0.996
0.213,-0.175,0.996
0.219,-0.162,1.02
0.219,-0.162,1.02
0.219,-0.162,1.02
0.216,-0.157,1.028
0.216,-0.157,1.028
0.216,-0.157,1.028
0.197,-0.161,1.044
0.197,-0.161,1.044
0.197,-0.161,1.044
0.161,-0.155,1.039
0.161,-0.155,1.039
0.161,-0.155,1.039
0.176,-0.152,1.023
0.176,-0.152,1.023
0.176,-0.152,1.023
0.186,-0.156,1.012
0.186,-0.156,1.012
0.186,-0.156,1.012
0.183,-0.143,0.978
0.183,-0.143,0.978
0.183,-0.143,0.978
0.215,-0.151,0.934
0.215,-0.151,0.934
0.215,-0.151,0.934
0.237,-0.169,0.897
0.237,-0.169,0.897
0.237,-0.169,0.897
0.252,-0.162,0.877
0.252,-0.162,0.877
0.252,-0.162,0.877
0.24,-0.159,0.861
0.24,-0.159,0.861
0.24,-0.159,0.861
0.224,-0.184,0.813
0.224,-0.184,0.813
0.224,-0.184,0.813
0.265,-0.241,0.761
0.265,-0.241,0.761
0.265,-0.241,0.761
0.397,-0.251,0.827
0.397,-0.251,0.827
0.397,-0.251,0.827
0.513,-0.263,0.908
0.513,-0.263,0.908
0.513,-0.263,0.908
0.457,-0.246,0.882
0.457,-0.246,0.882
0.457,-0.246,0.882
0.454,-0.221,0.822
0.454,-0.221,0.822
0.454,-0.221,0.822
0.527,-0.172,0.885
0.527,-0.172,0.885
0.527,-0.172,0.885
0.543,-0.136,0.98
0.543,-0.136,0.98
0.543,-0.136,0.98
0.57,-0.127,1.061
0.57,-0.127,1.061
0.57,-0.127,1.061
0.617,-0.104,1.06
0.617,-0.104,1.06
0.617,-0.104,1.06
0.655,-0.106,0.979
0.655,-0.106,0.979
0.655,-0.106,0.979
0.554,-0.07,0.9
0.554,-0.07,0.9
0.554,-0.07,0.9
0.435,0.004,0.901
0.435,0.004,0.901
0.435,0.004,0.901
0.315,0.142,0.981
0.315,0.142,0.981
0.315,0.142,0.981
0.221,0.209,1.071
0.221,0.209,1.071
0.221,0.209,1.071
0.286,0.2,1.114
0.286,0.2,1.114
0.286,0.2,1.114
0.383,0.163,1.093
0.383,0.163,1.093
0.383,0.163,1.093
0.455,0.098,0.971
0.455,0.098,0.971
0.455,0.098,0.971
0.572,-0.018,0.88
0.572,-0.018,0.88
0.572,-0.018,0.88
0.557,-0.107,0.881
0.557,-0.107,0.881
0.557,-0.107,0.881
0.509,-0.147,0.897
0.509,-0.147,0.897
0.509,-0.147,0.897
0.457,-0.15,0.883
0.457,-0.15,0.883
0.457,-0.15,0.883
0.331,-0.122,0.855
0.331,-0.122,0.855
0.331,-0.122,0.855
0.237,-0.104,0.884
0.237,-0.104,0.884
0.237,-0.104,0.884
0.224,-0.051,0.972
0.224,-0.051,0.972
0.224,-0.051,0.972
0.224,-0.026,0.995
0.224,-0.026,0.995
0.224,-0.026,0.995
0.318,-0.049,0.986
0.318,-0.049,0.986
0.318,-0.049,0.986
0.311,-0.037,1.007
0.311,-0.037,1.007
0.311,-0.037,1.007
0.305,-0.044,1.008
0.305,-0.044,1.008
0.305,-0.044,1.008
0.281,-0.049,0.931
0.281,-0.049,0.931
0.281,-0.049,0.931
0.276,-0.107,0.875
0.276,-0.107,0.875
0.276,-0.107,0.875
0.24,-0.133,0.856
0.24,-0.133,0.856
0.24,-0.133,0.856
0.336,-0.144,0.885
0.336,-0.144,0.885
0.336,-0.144,0.885
0.399,-0.197,0.94
0.399,-0.197,0.94
0.399,-0.197,0.94
0.341,-0.184,0.94
0.341,-0.184,0.94
0.341,-0.184,0.94
0.281,-0.172,0.949
0.281,-0.172,0.949
0.281,-0.172,0.949
0.33,-0.164,0.983
0.33,-0.164,0.983
0.33,-0.164,0.983
0.371,-0.158,0.988
0.371,-0.158,0.988
0.371,-0.158,0.988
0.355,-0.161,0.958
0.355,-0.161,0.958
0.355,-0.161,0.958
0.318,-0.16,0.922
0.318,-0.16,0.922
0.318,-0.16,0.922
0.28,-0.163,0.846
0.28,-0.163,0.846
0.28,-0.163,0.846
0.286,-0.189,0.761
0.286,-0.189,0.761
0.286,-0.189,0.761
0.325,-0.224,0.753
0.318,-0.162,0.919
0.318,-0.162,0.919
0.318,-0.162,0.919
0.424,-0.143,0.944
0.424,-0.143,0.944
0.424,-0.143,0.944
0.633,-0.017,0.987
0.633,-0.017,0.987
0.633,-0.017,0.987
0.634,0.095,1.01
0.634,0.095,1.01
0.634,0.095,1.01
0.5,0.188,0.978
0.5,0.188,0.978
0.5,0.188,0.978
0.446,0.238,0.945
0.446,0.238,0.945
0.446,0.238,0.945
0.451,0.247,0.96
0.451,0.247,0.96
0.451,0.247,0.96
0.445,0.264,0.987
0.445,0.264,0.987
0.445,0.264,0.987
0.356,0.255,0.975
0.356,0.255,0.975
0.356,0.255,0.975
0.332,0.223,0.918
0.332,0.223,0.918
0.332,0.223,0.918
0.34,0.171,0.852
0.34,0.171,0.852
0.34,0.171,0.852
0.286,0.037,0.823
0.286,0.037,0.823
0.286,0.037,0.823
0.324,-0.058,0.857
0.324,-0.058,0.857
0.324,-0.058,0.857
0.422,-0.112,0.92
0.422,-0.112,0.92
0.422,-0.112,0.92
0.463,-0.107,0.961
0.463,-0.107,0.961
0.463,-0.107,0.961
0.463,-0.092,0.933
0.463,-0.092,0.933
0.463,-0.092,0.933
0.42,-0.071,0.887
0.42,-0.071,0.887
0.42,-0.071,0.887
0.415,-0.045,0.877
0.415,-0.045,0.877
0.415,-0.045,0.877
0.353,-0.009,0.854
0.353,-0.009,0.854
0.353,-0.009,0.854
0.246,0.059,0.868
0.246,0.059,0.868
0.246,0.059,0.868
0.183,0.109,0.934
0.183,0.109,0.934
0.183,0.109,0.934
0.166,0.101,1.005
0.166,0.101,1.005
0.166,0.101,1.005
0.23,0.059,1.03
0.23,0.059,1.03
0.23,0.059,1.03
0.23,0.005,0.957
0.23,0.005,0.957
0.23,0.005,0.957
0.29,-0.077,0.824
0.29,-0.077,0.824
0.29,-0.077,0.824
0.418,-0.132,0.784
0.418,-0.132,0.784
0.418,-0.132,0.784
0.516,-0.159,0.876
0.516,-0.159,0.876
0.516,-0.159,0.876
0.58,-0.163,0.957
0.58,-0.163,0.957
0.58,-0.163,0.957
0.502,-0.146,0.968
0.502,-0.146,0.968
0.502,-0.146,0.968
0.413,-0.113,0.995
0.413,-0.113,0.995
0.413,-0.113,0.995
0.386,-0.064,1.028
0.386,-0.064,1.028
0.386,-0.064,1.028
0.363,-0.02,1.024
0.363,-0.02,1.024
0.363,-0.02,1.024
0.345,0.009,0.996
0.345,0.009,0.996
0.345,0.009,0.996
