time,x-acceleration,y-acceleration,z-acceleration
0,0,0,0
0.02,0,0,0
0.04,0,0,0
0.06,0,0,0
0.08,0,0,0
0.1,0,0,0
0.12,0,0,0
0.14,0,0,0
0.16,0,0,0
0.18,0,0,0
0.2,0,0,0
0.22,0,0,0
0.24,0.278,0.073,0.934
0.26,0.37,0.07,0.912
0.28,0.466,0.008,0.843
0.3,0.534,-0.093,0.849
0.32,0.534,-0.142,0.901
0.34,0.526,-0.168,0.924
0.36,0.485,-0.182,0.917
0.38,0.377,-0.156,0.919
0.4,0.316,-0.115,0.937
0.42,0.327,-0.117,0.919
0.44,0.357,-0.126,0.9
0.46,0.473,-0.114,0.916
0.48,0.496,-0.091,0.941
0.5,0.418,-0.08,0.974
0.52,0.297,-0.062,0.925
0.54,0.326,-0.104,0.839
0.56,0.326,-0.176,0.796
0.58,0.402,-0.195,0.807
0.6,0.526,-0.199,0.877
0.62,0.553,-0.208,0.917
0.64,0.516,-0.209,0.903
0.66,0.503,-0.201,0.929
0.68,0.473,-0.186,0.973
0.7,0.461,-0.171,0.958
0.72,0.447,-0.148,0.925
0.74,0.439,-0.149,0.907
0.76,0.443,-0.176,0.869
0.78,0.461,-0.211,0.778
0.8,0.486,-0.24,0.709
0.82,0.5,-0.218,0.756
0.84,0.469,-0.175,0.818
0.86,0.578,-0.2,0.799
0.88,0.629,-0.166,0.834
0.9,0.53,-0.116,0.846
0.92,0.553,-0.109,0.854
0.94,0.55,-0.111,0.887
0.96,0.517,-0.11,0.92
0.98,0.511,-0.126,0.903
1,0.529,-0.143,0.872
1.02,0.541,-0.144,0.85
1.04,0.567,-0.146,0.835
1.06,0.614,-0.155,0.847
1.08,0.631,-0.167,0.877
1.1,0.618,-0.172,0.866
1.12,0.575,-0.177,0.829
1.14,0.552,-0.188,0.818
1.16,0.55,-0.198,0.858
1.18,0.53,-0.203,0.883
1.2,0.539,-0.213,0.872
1.22,0.533,-0.199,0.829
1.24,0.542,-0.171,0.793
1.26,0.589,-0.14,0.803
1.28,0.609,-0.095,0.841
1.3,0.56,-0.041,0.896
1.32,0.475,0.01,0.91
1.34,0.432,0.037,0.94
1.36,0.43,0.039,0.946
1.38,0.49,-0.002,0.877
1.4,0.522,-0.075,0.788
1.42,0.513,-0.162,0.787
1.44,0.59,-0.167,0.891
1.46,0.532,-0.14,0.969
1.48,0.402,-0.124,0.969
1.5,0.323,-0.108,0.939
1.52,0.325,-0.097,0.94
1.54,0.392,-0.099,0.917
1.56,0.441,-0.116,0.877
1.58,0.43,-0.103,0.895
1.6,0.383,-0.073,0.91
1.62,0.388,-0.075,0.92
1.64,0.399,-0.097,0.931
1.66,0.366,-0.088,0.898
1.68,0.399,-0.149,0.795
1.7,0.431,-0.192,0.716
1.72,0.524,-0.225,0.778
1.74,0.594,-0.231,0.858
1.76,0.547,-0.232,0.866
1.78,0.51,-0.21,0.906
1.8,0.487,-0.199,0.951
1.82,0.438,-0.158,0.939
1.84,0.396,-0.121,0.916
1.86,0.41,-0.114,0.931
1.88,0.482,-0.123,0.949
1.9,0.526,-0.134,0.944
1.92,0.557,-0.151,0.914
1.94,0.548,-0.16,0.869
1.96,0.523,-0.175,0.837
1.98,0.511,-0.198,0.813
2,0.534,-0.215,0.801
2.02,0.577,-0.238,0.765
2.04,0.609,-0.249,0.738
2.06,0.612,-0.236,0.735
2.08,0.604,-0.201,0.76
2.1,0.603,-0.161,0.805
2.12,0.542,-0.132,0.847
2.14,0.499,-0.107,0.873
2.16,0.469,-0.088,0.861
2.18,0.487,-0.085,0.869
2.2,0.465,-0.093,0.906
2.22,0.478,-0.087,0.919
2.24,0.501,-0.117,0.889
2.26,0.526,-0.145,0.875
2.28,0.579,-0.152,0.897
2.3,0.582,-0.176,0.906
2.32,0.528,-0.212,0.868
2.34,0.498,-0.242,0.816
2.36,0.49,-0.254,0.779
2.38,0.488,-0.235,0.782
2.4,0.628,-0.216,0.842
2.42,0.714,-0.136,0.868
2.44,0.608,-0.043,0.853
