time,x-acceleration,y-acceleration,z-acceleration
0,0,0,0
0.02,0,0,0
0.04,0,0,0
0.06,0,0,0
0.08,0.101,-0.074,0.897
0.1,0.165,-0.052,0.982
0.12,0.223,-0.02,1.036
0.14,0.273,-0.004,1.045
0.16,0.224,0.048,1.034
0.18,0.194,0.08,1
0.2,0.181,0.061,1.002
0.22,0.171,0.067,1.026
0.24,0.185,0.06,1.038
0.26,0.195,0.031,1.028
0.28,0.19,0.016,1.006
0.3,0.195,0.001,0.994
0.32,0.2,-0.009,1
0.34,0.202,-0.036,0.987
0.36,0.212,-0.058,0.95
0.38,0.223,-0.056,0.923
0.4,0.203,-0.039,0.924
0.42,0.141,0.005,0.939
0.44,0.065,0.076,0.975
0.46,0.033,0.13,1.045
0.48,0.026,0.182,1.111
0.5,0.022,0.204,1.146
0.52,0.032,0.201,1.169
0.54,0.1,0.173,1.104
0.56,0.079,0.157,0.933
0.58,0.166,0.046,0.847
0.6,0.267,0.002,0.853
0.62,0.295,-0.023,0.937
0.64,0.345,-0.03,1.027
0.66,0.3,-0.037,0.999
0.68,0.193,-0.018,0.976
0.7,0.183,0.016,1.003
0.72,0.199,0.039,1.036
0.74,0.211,0.055,1.038
0.76,0.194,0.09,1.001
0.78,0.191,0.123,1.008
0.8,0.211,0.148,1.043
0.82,0.139,0.167,1.053
0.84,0.026,0.176,1.024
0.86,-0.048,0.155,1.002
0.88,-0.084,0.149,1.019
0.9,-0.062,0.14,1.08
0.92,-0.065,0.101,1.058
0.94,-0.146,0.062,0.966
0.96,-0.178,0.028,0.89
0.98,-0.178,-0.018,0.935
1,-0.175,0.028,0.944
1.02,-0.057,-0.016,0.901
1.04,0.141,-0.033,0.878
1.06,0.314,-0.058,0.909
1.08,0.424,-0.051,0.982
1.1,0.475,-0.035,1.047
1.12,0.398,0.034,1.038
1.14,0.305,0.05,1.005
1.16,0.193,0.041,0.989
1.18,0.147,0.039,0.995
1.2,0.166,0.028,1.015
1.22,0.169,0.024,1.025
1.24,0.199,0.009,1.009
1.26,0.243,-0.006,0.978
1.28,0.278,-0.029,0.971
1.3,0.286,-0.043,0.942
1.32,0.304,-0.063,0.918
1.34,0.264,-0.052,0.903
1.36,0.21,-0.003,0.897
1.38,0.144,0.052,0.93
1.4,0.112,0.126,1.027
1.42,0.127,0.188,1.119
1.44,0.111,0.208,1.13
1.46,0.114,0.189,1.115
1.48,0.13,0.148,1.087
1.5,0.147,0.17,0.976
1.52,0.107,0.107,0.878
1.54,0.211,0.047,0.871
1.56,0.348,-0.012,0.916
1.58,0.429,-0.016,0.972
1.6,0.394,-0.044,0.998
1.62,0.33,-0.029,0.996
1.64,0.277,0.017,1.004
1.66,0.262,0.037,1.033
1.68,0.226,0.044,1.038
1.7,0.185,0.054,1.025
1.72,0.148,0.102,1.005
1.74,0.152,0.137,0.976
1.76,0.162,0.123,0.973
1.78,0.132,0.135,1.016
1.8,-0.01,0.138,1.071
1.82,-0.176,0.15,1.064
1.84,-0.281,0.145,0.975
1.86,-0.274,0.074,0.899
1.88,-0.191,0.038,0.893
1.9,-0.146,0.027,0.926
1.92,-0.032,-0.011,0.963
1.94,-0.016,-0.034,0.966
1.96,0.038,-0.049,0.944
1.98,0.183,-0.037,0.945
2,0.308,-0.03,0.998
2.02,0.421,-0.014,1.069
2.04,0.393,0.01,1.087
2.06,0.181,0.049,1.069
2.08,0.109,0.097,1.012
2.1,0,0.062,0.952
2.12,-0.016,0.051,0.953
2.14,0.031,0.056,1.001
2.16,0.134,0.043,1.035
2.18,0.22,0.036,1.024
2.2,0.211,0.019,0.976
2.22,0.205,0.021,0.927
2.24,0.149,0.052,0.921
2.26,0.121,0.076,0.989
2.28,0.099,0.117,1.071
2.3,0.037,0.149,1.105
2.32,0.013,0.147,1.092
2.34,-0.015,0.127,1.077
2.36,0.093,0.1,1.023
2.38,0.221,0.1,0.93
2.4,0.205,0.03,0.89
2.42,0.226,0.043,0.911
2.44,0.251,-0.032,0.984
2.46,0.217,0,1.034
