time,x-acceleration,y-acceleration,z-acceleration
0,0.442,-0.018,0.955
0.02,0.452,-0.051,0.944
0.04,0.45,-0.079,0.934
0.06,0.417,-0.1,0.931
0.08,0.389,-0.102,0.941
0.1,0.375,-0.084,0.945
0.12,0.4,-0.073,0.918
0.14,0.437,-0.063,0.865
0.16,0.41,-0.027,0.826
0.18,0.369,0.004,0.834
0.2,0.42,0.037,0.86
0.22,0.45,0.093,0.862
0.24,0.465,0.128,0.89
0.26,0.429,0.16,0.961
0.28,0.397,0.135,1.007
0.3,0.413,0.131,0.961
0.32,0.424,0.111,0.833
0.34,0.42,-0.013,0.8
0.36,0.515,-0.04,0.849
0.38,0.605,-0.071,0.908
0.4,0.489,-0.063,0.954
0.42,0.435,-0.038,0.94
0.44,0.487,-0.038,0.926
0.46,0.52,-0.024,0.919
0.48,0.488,0.013,0.902
0.5,0.437,0.029,0.892
0.52,0.417,0.044,0.913
0.54,0.426,0.068,0.963
0.56,0.401,0.057,0.958
0.58,0.442,0.018,0.934
0.6,0.513,0.021,0.902
0.62,0.456,0.024,0.832
0.64,0.376,-0.01,0.822
0.66,0.364,-0.033,0.903
0.68,0.383,-0.02,1.002
0.7,0.384,0.006,1.037
0.72,0.382,0.002,0.984
0.74,0.358,0.003,0.934
0.76,0.33,0.019,0.921
0.78,0.306,0.05,0.936
0.8,0.284,0.069,0.947
0.82,0.296,0.068,0.957
0.84,0.329,0.059,0.962
0.86,0.351,0.041,0.972
0.88,0.363,0.017,0.965
0.9,0.355,-0.016,0.947
0.92,0.44,0.001,0.981
0.94,0.394,0.031,0.942
0.96,0.344,0.011,0.879
0.98,0.325,-0.043,0.858
1,0.352,-0.028,0.938
1.02,0.394,-0.018,0.999
1.04,0.361,-0.014,0.996
1.06,0.341,0,0.99
1.08,0.328,0.004,0.998
1.1,0.35,-0.002,0.98
1.12,0.37,0.002,0.958
1.14,0.394,-0.017,0.947
1.16,0.405,-0.022,0.952
1.18,0.39,-0.034,0.961
1.2,0.398,-0.059,0.957
1.22,0.443,-0.087,0.934
1.24,0.443,-0.101,0.894
1.26,0.443,-0.114,0.883
1.28,0.466,-0.12,0.899
1.3,0.478,-0.089,0.911
1.32,0.433,-0.068,0.89
1.34,0.372,-0.045,0.838
1.36,0.372,-0.02,0.818
1.38,0.362,0.014,0.842
1.4,0.404,0.064,0.906
1.42,0.402,0.119,0.979
1.44,0.362,0.111,1.007
1.46,0.41,0.098,1.001
1.48,0.414,0.123,0.881
1.5,0.479,0.035,0.781
1.52,0.531,-0.071,0.771
1.54,0.636,-0.103,0.838
1.56,0.597,-0.113,0.943
1.58,0.595,-0.09,0.968
1.6,0.571,-0.084,0.931
1.62,0.56,-0.08,0.888
1.64,0.553,-0.062,0.859
1.66,0.493,-0.034,0.848
1.68,0.459,0.013,0.886
1.7,0.451,0.035,0.943
1.72,0.409,0.065,0.968
1.74,0.43,0.066,0.955
1.76,0.415,0.046,0.91
1.78,0.486,0.038,0.9
1.8,0.438,0.09,0.858
1.82,0.392,0.045,0.846
1.84,0.365,-0.023,0.899
1.86,0.374,-0.016,0.971
1.88,0.403,-0.012,1.013
1.9,0.431,-0.014,0.98
1.92,0.44,-0.023,0.943
1.94,0.419,-0.009,0.934
1.96,0.353,0.023,0.936
1.98,0.307,0.042,0.957
2,0.312,0.063,0.978
2.02,0.323,0.064,0.974
2.04,0.317,0.044,0.904
2.06,0.354,0.033,0.89
2.08,0.331,0.033,0.995
2.1,0.334,0.09,0.99
2.12,0.363,0.024,0.837
2.14,0.44,-0.077,0.715
2.16,0.585,-0.089,0.824
2.18,0.594,-0.06,0.98
2.2,0.551,-0.055,1.001
2.22,0.472,-0.05,0.937
2.24,0.428,-0.046,0.912
2.26,0.448,-0.029,0.913
2.28,0.487,-0.03,0.914
2.3,0.498,-0.028,0.91
2.32,0.478,-0.038,0.885
2.34,0.466,-0.049,0.856
2.36,0.489,-0.073,0.82
2.38,0.545,-0.106,0.799
2.4,0.56,-0.115,0.779
2.42,0.551,-0.093,0.775
2.44,0.596,-0.08,0.787
2.46,0.637,-0.103,0.774
2.48,0.619,-0.103,0.745
2.5,0.594,-0.091,0.778
2.52,0.605,-0.061,0.872
2.54,0.591,-0.019,0.897
2.56,0.573,-0.015,0.882
2.58,0.535,-0.027,0.88
2.6,0.54,-0.035,0.897
2.62,0.555,-0.062,0.89
2.64,0.606,-0.076,0.851
2.66,0.636,-0.067,0.817
2.68,0.607,-0.047,0.804
2.7,0.563,-0.012,0.835
2.72,0.593,0.004,0.891
2.74,0.631,0.03,0.901
2.76,0.601,0.078,0.889
2.78,0.524,0.107,0.862
2.8,0.432,0.123,0.861
2.82,0.52,0.094,0.897
2.84,0.541,0.092,0.907
2.86,0.502,0.108,0.836
2.88,0.458,0.06,0.806
2.9,0.456,0.018,0.878
2.92,0.457,0.029,0.961
2.94,0.48,0.027,1.001
2.96,0.47,0.014,0.966
2.98,0.434,0.01,0.911
3,0.425,-0.018,0.898
3.02,0.465,-0.02,0.919
3.04,0.474,-0.001,0.952
3.06,0.473,0.006,0.948
3.08,0.444,0.009,0.901
3.1,0.384,0.012,0.871
3.12,0.379,0.007,0.886
3.14,0.465,0.005,0.961
3.16,0.471,0.014,1.014
3.18,0.432,0.06,0.916
3.2,0.361,0.022,0.808
3.22,0.346,-0.038,0.789
3.24,0.391,-0.035,0.864
3.26,0.432,-0.011,0.958
3.28,0.464,-0.039,0.914
3.3,0.378,-0.056,0.844
3.32,0.397,-0.044,0.872
3.34,0.428,-0.031,0.989
3.36,0.394,-0.025,1.021
3.38,0.365,-0.033,0.954
3.4,0.388,-0.035,0.921
3.42,0.419,-0.024,0.952
3.44,0.422,-0.027,0.966
3.46,0.44,-0.037,0.967
3.48,0.421,-0.023,0.92
3.5,0.46,-0.038,0.866
3.52,0.446,-0.053,0.816
3.54,0.446,-0.071,0.783
